,Rank,Value,Name,Price,Signature,Comments,Tone Grade,Technical Grade,Setup,Status
26,A,★,Moondrop A8,667,V-shaped,"An odd but surprisingly decent take on the Harman signature, with added midbass compared to the S8.",A,A,8BA,Oardio demo unit
27,A,★,Symphonium Helios,1100,Neutral with bass boost,,A,A,4BA,Zeppelin & Co demo unit
28,A,,Elysian Diva,1600,U-shaped,,A,A,6BA,Available for demo at The Hangout
29,A,,qdc Anole V14,2740,Variable,"Rather bassy even in stock form; fun and engaging, though at the expense of sheer technical performance.",A,A,4EST 10BA,Jaben SG demo unit
30,A-,★,Kiwi Ears Orchestra,500,Mild V-shape,Very well-tuned reference-y signature with a mild bass and treble emphasis for added energy.,A+,A-,8BA,Available for demo at The Hangout
31,A-,,Vision Ears Elysium,3200,Mild V-shape,First decent implementation of Sonion's EST tweeters.,A-,A+,2EST 1BA 1DD,E1 demo unit
32,A-,,Ultimate Ears Reference Monitor (UERM),Discont.,Neutral,"The benchmark of an era, dead-flat with an upper treble boost",A+,A-,3BA,Personal custom
33,A-,★,ThieAudio Clairvoyance,700,Neutral with bass boost,"Inoffensive, pleasant tuning specialising in extremely balanced tonality and bass control.",S,B+,2EST 5BA 1DD,Available for demo at The Hangout
34,A-,,JVC HA-FW10000,2200,Bright neutral,Intense and shouty DF-style signature with solid resolution.,B+,S-,DD,Stereo SG demo unit
35,A-,★★,Drop + JVC HA-FDX1,280,Neutral,"Highly technical sound with a clean, well-tuned neutral signature.",A,A-,DD,Available for demo at The Hangout
36,A-,★,Kumitate KL-Sirius,815,Neutral,"Excellent technical ability, well tuned with a dash of Japanese flavour.",A,A-,4BA,Third party custom
37,A-,,Softears Twilight,930,V-shaped,,A-,A,DD,Available for demo at The Hangout
38,A-,,Sony IER-M9,1000,Warm neutral,"Neutral tonality, highly coherent and decent detail pickup. The all-rounder of the IER lineup.",A-,A,5BA,Showfloor demo unit
39,A-,,PEARS SH3,1100,Neutral,"Great detail pickup and solid all-rounder, perhaps a little strident.",A,A-,3BA,Third party unit
40,A-,,Empire Ears ESR Mk2,1100,Warm neutral,Possibly the most pleasant-sounding of the Empire Ears lineup with decent detailing to boot.,A,A-,2EST 3BA,Zeppelin & Co demo unit
41,A-,,qdc 8SS,1450,Neutral,"The neutral ""studio monitor"" of qdc's 8-series of IEMs, lacking a bit in overall extension.",A-,A,8BA,Music Sanctuary demo unit
42,A-,,Kumitate KL-Focus,1600,U-shaped,"Selectable bass response with the rest of the FR following a more ""Japanese reference"" tuning.",A,A-,5BA,Treoo demo unit
43,A-,,Hidition NT8,1850,Neutral,Coloured neutral kind of sound that works better with Asian genres.,A-,A,8BA,Zeppelin & Co demo unit
44,A-,,64 Audio Tia Trio,2300,Neutral with bass boost,A more correct sounding version of the Fourte with slight cutbacks in staging and sheer resolution.,A,A-,2BA 1DD,E1 demo unit
45,A-,,Moondrop Blessing,Discont.,Bright neutral,All rounder that comes the closest to the Harman Target.,A,A-,4BA 1DD,Available for demo at The Hangout
46,A-,★,DUNU Vulkan,380,U-shaped,,A+,B+,4BA 2DD,e-Earphone demo unit
47,A-,,Hidition Waltz,900,Mild V-shape,Neutral-fun signature that works both as a reference monitor and a rock-out IEM.,A+,B+,3BA,Zeppelin & Co demo unit
48,A-,,Softears Turii,1400,Mild V-shape,Resolving and fairly well-tuned dynamic-driver IEM.,B+,A+,DD,Showfloor demo unit
49,A-,,64 Audio Nio,1700,Variable,"A decent bassy set with the m15/m20 modules, but really shines with the mX modules.",A+,B+,8BA 1DD,Available for demo at The Hangout
50,A-,,64 Audio A/U18 Tzar,3000,Warm neutral,"A rather simple and ""mainstream"" tuning refined to a high level.",B+,A+,18BA,Music Sanctuary demo unit
51,A-,,Shure KSE1200,2000,Bright U-shape,"Easily at the top in terms of resolution and definition, but comes with a big treble spike and slightly odd mids.",B,S+,Electrostatic,A2A Melbourne demo unit
52,A-,★★★,Tangzu Zetian Wu,150,Neutral with bass boost,,A-,A-,Planar,Third party unit
53,A-,★,Etymotic ER4XR,350,Neutral,A more mainstream tuning of the ER4S/SR with slightly boosted bass.,A-,A-,BA,Zeppelin & Co demo unit
54,A-,★,Sony IER-M7,500,Warm neutral,"Balanced across the board, though doesn't seem to excel in any particular area.",A-,A-,4BA,Showfloor demo unit
55,A-,★,ThieAudio Excalibur,530,V-shaped,"Probably the weakest of the ThieAudio tribrids, but still great on its own.",A-,A-,2EST 2BA 1DD,Available for demo at The Hangout
56,A-,,Lime Ears Model X,1000,Variable,Technically capable IEM that goes from decently neutral to warm and smooth in a pinch.,A-,A-,4BA,Music Sanctuary demo unit
57,A-,,See Audio Neo,1100,Neutral with bass boost,Well-balanced tonality with good resolution; emphasised bass with good control.,A-,A-,10BA,Zeppelin & Co demo unit
58,A-,,InEar SD5,1100,Warm V-shape,Excels in timbre reproduction and has an overall pleasant signature.,A-,A-,5BA,Music Sanctuary demo unit
59,A-,,Noble K10 Encore,1850,Neutral,Reference oriented sound focused on technicalities.,A-,A-,10BA,Stereo SG demo unit
60,A-,,Noble Katana,1850,Neutral with laid-back treble,"Like the K10, except with less bass.",A-,A-,9BA,Stereo SG demo unit
61,A-,,Elysian Poseidon,1940,Neutral with bass boost,"Good, inoffensive midrange tone and bass tuning, marred by the lack of low-level detailing.",A-,A-,6BA 1DD,Showfloor demo unit
62,A-,,Empire Ears Legend X,2300,V-shaped,High resolution hybrid flawed only by lack of control in the bass regions.,A-,A-,5BA 2DD,Zeppelin & Co demo unit
63,A-,,Vision Ears VE8,2700,Warm neutral,Extremely coherent signature with a pleasing tuning and high technicalities.,A-,A-,8BA,E1 demo unit
64,A-,,Vision Ears EXT,3000,U-shaped,,A-,A-,2EST 2DD,E1 demo unit
65,A-,,Empire Ears Legend X SE,3250,V-shaped,"A more upper-mid-forward variation of the original Legend X, which could come off as slightly more mid-recessed.",A-,A-,5BA 2DD,BKK Audio demo unit
66,A-,,Massdrop x Noble K10,Discont.,Neutral with bass boost,"Very safe tuning, almost to the point of boredom. Does nothing wrong but nothing right either.",A-,A-,10BA,Stereo SG demo unit
67,A-,,Etymotic ER4B,Discont.,Bright neutral,,A-,A-,BA,Zeppelin & Co demo unit
68,B+,★★★,Etymotic ER2SE/ER2XR,110,Neutral,"Slightly less detailed than the ER4, but without the usual BA timbre.",A,B+,DD,Zeppelin & Co demo unit
69,B+,★★,Moondrop Kato,190,Mild V-shape,,A,B+,DD,Available for demo at The Hangout
70,B+,★★,Samsung Galaxy Buds2 Pro,230,U-shaped,A less shouty interpretation of Harman with the same controlled yet impactful bass response.,S-,B,2DD,Available for demo at The Hangout
71,B+,★★,Tanchjim Oxygen,270,Mild V-shape,One of the best-tuned DDs tuned somewhat to Harman. Defined and detailed.,A,B+,DD,Available for demo at The Hangout
72,B+,★,Fearless S8Z,590,Warm neutral,"Solid all-rounder with a safe, pleasing tuning.",A,B+,8BA,Music Sanctuary demo unit
73,B+,★,Clariar i430,600,Mild V-shape,,A,B+,4BA,Zeppelin & Co demo unit
74,B+,★,qdc 4SS,700,Neutral,"High clarity, high resolution reference-type monitor with spot-on tone.",B+,A,4BA,Music Sanctuary demo unit
75,B+,,HYLA CE-5,915,U-shaped,Probably the best bass response I've ever heard. Thin-ish midrange that sounds unnatural on certain instruments.,B+,A,1Piezo 2BA 1DD,Zeppelin & Co demo unit
76,B+,,Clariar i640,1200,V-shaped,,A,B+,6BA,Zeppelin & Co demo unit
77,B+,,HYLA Sarda,1250,U-shaped,"Standard ""HYLA"" house sound, doesn't do much different from the CE-5 and TE-5B.",B+,A,1Piezo 2BA 1DD,Zeppelin & Co demo unit
78,B+,,HYLA TE-5B,1300,U-shaped,Similar to the CE-5 though ever-so-slightly thinner in the midrange.,B+,A,1Piezo 2BA 1DD,Zeppelin & Co demo unit
79,B+,,qdc 8SH,1450,Mild V-shape,"Tonally, a slightly wonkier variation of the top-tier qdc IEMs.",B+,A,8BA,Music Sanctuary demo unit
80,B+,,qdc Tiger,1500,Mild V-shape,,B+,A,2EST 6BA,e-Earphone demo unit
81,B+,,Fatfreq Maestro SE,1900,Neutral with bass boost,,A,B+,,Showfloor demo unit
82,B+,,Jomo Trinity SS,2800,V-shaped,"Highly detailed, well separated imaging though severely lacking in treble extension.",B+,A,2EST 4BA 1DD,Showfloor demo unit
83,B+,,Unique Melody Mason V3+,3200,Bright neutral,"Decent resolution, nothing really special otherwise.",B+,A,16BA,Munkong Gadget demo unit
84,B+,★★★,Truthear Hexa,80,Neutral,,A+,B,3BA 1DD,Available for demo at The Hangout
85,B+,★★,AKG N400,155,U-shaped,Does away with the timbral issues of the Buds+ and sets itself as a superior.,A+,B,DD,Personal unit
86,B+,★★,Samsung Galaxy Buds Pro,200,Warm V-shape,"More lower mids than your average Harman-tuned IEM, but works in its favour by being more pleasant.",A+,B,2DD,Available for demo at The Hangout
87,B+,★★,Apple AirPods Pro 2,250,Mild V-shape,"A more exciting sound signature in comparison to its predecessor, with little in terms of drawbacks.",A+,B,DD,Available for demo at The Hangout
88,B+,★★,Softears Volume,285,Mild V-shape,,A+,B,2BA 1DD,Available for demo at The Hangout
89,B+,★,Fatfreq Maestro Mini,450,Neutral with bass boost,,A+,B,2BA 1DD,Showfloor demo unit
90,B+,,Gaudio Nair,862,Neutral,Well-tuned neutral monitor bottlenecked by timbre and resolution.,A+,B,3BA,Available for demo at The Hangout
91,B+,,Sennheiser IE900,1300,U-shaped,"Well-resolving DD IEM with excellent treble control, though with somewhat weak mid-high harmonics.",B,A+,DD,Review loaner
92,B+,,Noble Khan,2300,U-shaped,"Clean yet lean, solid low-end rumble but treble get splashy. Technical but lacking naturalness.",B,A+,1Piezo 4BA 1DD,Third party unit
93,B+,,Noble Kublai Khan,2600,U-shaped,,B,A+,1Piezo 1BC 4BA 1DD,e-Earphone demo unit
94,B+,★★,Etymotic ER3SE/ER3XR,160,Warm neutral,An ER4 with a bit less treble and upper extension.,A-,B+,BA,Zeppelin & Co demo unit
95,B+,★,DUNU DK-3001 Pro,470,Warm neutral,Well-tuned and coherent. Does little wrong and very easy to like.,A-,B+,3BA 1DD,Available for demo at The Hangout
96,B+,★,MiM Dark Magician,500,Neutral,,A-,B+,DD,Third party unit
97,B+,,Ultimate Ears Reference Remastered (UERR),1000,Neutral with laid-back treble,Warm with good tonality. Good all-rounder albeit definitely not a reference signature.,B+,A-,3BA,Music Sanctuary demo unit
98,B+,,Unique Melody MEXT,1100,U-shaped,,B+,A-,1BC 4BA 1DD,Available for demo at The Hangout
99,B+,,FAudio Dark Sky,1100,V-shaped,,A-,B+,DD,Zeppelin & Co demo unit
100,B+,,Vision Ears VE7,1300,Warm neutral,Fairly inoffensive tuning with solid technicalities.,B+,A-,7BA,E1 demo unit
101,B+,,Unique Melody MEST,1400,Neutral with bass boost,"A smooth, relaxing listen (in custom form) backed up with good technicalities.",B+,A-,1BC 2EST 4BA 1DD,Review custom
102,B+,,Unique Melody MEST Mk2,1500,Neutral with bass boost,"Pretty much the same as the Mk1, though with extra sub-bass presence.",B+,A-,1BC 2EST 4BA 1DD,Third party unit
103,B+,,Elysian Hades V2,1550,Variable,Upper-mid forward signature with intense upper treble response.,B+,A-,6BA,Showfloor demo unit
104,B+,,Elysian Terminator V2,2500,V-shaped,"A more intense, upper-mid forward Terminator V1 with the same level of technical ability.",B+,A-,8BA,Showfloor demo unit
105,B+,,Elysian Terminator,Discont.,Warm V-shape,Well rounded smooth signature that doesn't offend.,B+,A-,8BA,Showfloor demo unit
106,B+,★,DUNU x Z Reviews SA6 Ultra,600,U-shaped,,B,A,6BA,Third party unit
107,B+,,Hidition NT6 Pro,1100,Neutral with bass boost,A V-shaped version of the NT6. The change in tuning kills the technical ability slightly,B,A,6BA,Null Audio demo unit
108,B+,,InEar Prophile-8,1600,Neutral,"Very ""studio"" like sound, heavy priority on technicalities if a little dead-sounding.",A,B,8BA,Music Sanctuary demo unit
109,B+,,64 Audio A18S,3000,Warm neutral,Warning: the demo unit does not sound like the custom. Demos are sub-bass focused while customs are warm.,B,A,18BA,Third party custom
110,B+,,Fatfreq Maestro,Discont.,U-shaped,,A,B,,Showfloor demo unit
111,B+,,Audeze Euclid,1300,Mild V-shape,Certainly far better tuned than its predecessors with the same excellent technicalities.,B-,S-,Planar,Available for demo at The Hangout
112,B+,★★,Unique Melody 2HT “Terminator”,200,U-shaped,Tonality almost reminds me of a HYLA hybrid. Well tuned with strong technical performance.,B+,B+,1BA 1DD,Third party unit
113,B+,★,iBasso AM05,300,Neutral,"Well-balanced tonality, slightly tilted towards brightness. Probably the best iBasso IEM yet.",B+,B+,5BA,Zeppelin & Co demo unit
114,B+,★,Fearless S6Pro,390,Neutral,Technical tuning with very forward detailing.,B+,B+,6BA,Music Sanctuary demo unit
115,B+,★,iBasso IT04,500,U-shaped,A nice improvement over the IT03 though midrange hollowness still exists.,B+,B+,3BA 1DD,E1 demo unit
116,B+,,JQ Hua Jiang,750,Neutral with bass boost,"Somewhat subdued and ""safe"" tuning with decent resolving ability.",B+,B+,2EST 6BA 1DD,Third party unit
117,B+,,Oriolus MK2,1100,V-shaped,Lively yet non-fatiguing hybrid experience.,B+,B+,3BA 1DD,Zeppelin & Co demo unit
118,B+,,FiR M3,1200,Warm neutral,"Interesting tubeless technology, though the imaging improvements are minimal.",B+,B+,2BA 1DD,Showfloor demo unit
119,B+,,64 Audio N8,1700,Bassy,"Sub-bass focus, rich and smooth yet relatively neutral in tone.",B+,B+,8BA 1DD,Personal custom
120,B+,,FiR M4,1900,Warm neutral,Too similar to the M3 to be worth the price markup.,B+,B+,3BA 1DD,Showfloor demo unit
121,B+,,FitEar MH334SR,2000,Warm neutral,A MH334 with more treble extension and more opened imaging.,B+,B+,4BA,Third party unit
122,B+,,Jomo Flamenco,2200,Warm neutral,Tuned to be more pleasing and tonally accurate compared to the old Flamenco at the cost of sheer detail.,B-,A+,11BA,Showfloor demo unit
123,B+,,FiR M5,2800,Warm V-shape,Warmer than the M3 and M4 with lower resolution.,B+,B+,1EST 3BA 1DD,Showfloor demo unit
124,B+,,Empire Ears Legend EVO,3100,Bassy,,B+,B+,5BA 2DD 1BC,Zeppelin & Co demo unit
125,B+,,Mofasest M14,Discont.,Neutral with bass boost,"Essentially a more tonally ""correct"" version of the ThieAudio V14.",B+,B+,14BA,Third party unit
126,B,★★★,Moondrop Aria,80,Mild V-shape,A cheaper Starfield.,A-,B,DD,Available for demo at The Hangout
127,B,★★★,DUNU Titan S,80,Mild V-shape,,A-,B,DD,Available for demo at The Hangout
128,B,★★,Moondrop Starfield,110,Mild V-shape,A cheaper KXXS.,A-,B,DD,Available for demo at The Hangout
129,B,★★,Samsung Galaxy Buds,130,Neutral,A surprisingly well-tuned TWS with the technical chops to boot.,A-,B,DD,Personal unit
130,B,★★,Moondrop KXXS,190,Mild V-shape,Well-tuned single DD with proper timbre and decent technicalities.,A-,B,DD,Available for demo at The Hangout
131,B,★,JVC HA-FD01,300,Bright V-shape,"Upper-mid forward signature can get a little shouty, but a decently technical DD still.",B,A-,DD,Stereo SG demo unit
132,B,★,JVC HA-FD02,300,Bright V-shape,"Upper-mid forward signature can get a little shouty, but a decently technical DD still.",B,A-,DD,Stereo SG demo unit
133,B,★,FAudio Minor,520,Mild V-shape,"Well-balanced tonality and tuning, held back by middling technicalities.",A-,B,DD,Third party unit
134,B,,DUNU SA6,550,Neutral with bass boost,"Tonality reminiscent of the Anole VX, though not up to the same level of technicalities.",B,A-,6BA,Available for demo at The Hangout
135,B,,Aya Siren,600,Neutral,"Very neutral, very well-tuned, though not very snappy in the treble.",A-,B,2EST 4BA,Available for demo at The Hangout
136,B,,Acoustune HS1650,650,V-shaped,Well textured and energetic with a sub-bass focus.,B,A-,DD,
137,B,,Shuoer x HBB EJ07M Kinda Lava Edition,670,Mild V-shape,,A-,B,4EST 2BA 1DD,Third party unit
138,B,,Unique Melody Martian,700,Neutral with bass boost,Well-tuned hybrid with excellent bass response and smooth midrange.,A-,B,2BA 2DD,Stereo SG demo unit
139,B,,Acoustune HS1670,800,V-shaped,Metallic and shrill timbre makes this hard to enjoy.,B,A-,DD,Zeppelin & Co demo unit
140,B,,Fatfreq Sakura,950,Neutral,,A-,B,6BA,Showfloor demo unit
141,B,,ThieAudio Voyager 14 (V14),1000,Neutral,"Evokes a qdc-ish house sound, though stumbles in both tuning refinement and technicalities.",B,A-,14BA,Third party unit
142,B,,Fearless Lancelot,1300,Warm,Rather generic tuning with no redeeming qualities for its price and status.,B,A-,2EST 6BA,Music Sanctuary demo unit
143,B,,"Tansio Mirai TSMR-12 ""Zodiac""",1330,Neutral,"Very clean, monitor/reference-style sound.",B,A-,12BA,Available for demo at The Hangout
144,B,,Acoustune HS1695Ti,Discont.,U-shaped,Sub-bass focused emphasis balanced out by midtreble peaks.,B,A-,DD,Zeppelin & Co demo unit
145,B,,SeeAudio Miu,650,U-shaped,,A,B-,2EST 2BA 1DD,e-Earphone demo unit
146,B,,Moondrop Solis,1100,Warm neutral,A good implementation of the EST drivers with Moondrop's signature tuning specialties.,A,B-,4BA 2EST,Available for demo at The Hangout
147,B,,HYLA TE-5T,1300,Bright U-shape,"Very Japanese-sounding with a massive upper harmonic focus, too much for many genres.",B-,A,1Piezo 2BA 1DD,Zeppelin & Co demo unit
148,B,,Unique Melody Maestro V2,2000,"""Balanced""",It's... there. An IEM that exists. Hard to find words for this one.,B-,A,12BA,Stereo SG demo unit
149,B,,Final Audio A8000,2000,Bright V-shape,Technically strong but going too far with the treble emphasis.,B-,A,DD,Zeppelin & Co demo unit
150,B,,Oriolus Percivali,2000,Neutral with bass boost,Lacking body and very thin in the notes. Not recommended for sub-tenor instruments.,B-,A,2EST 2BA 1DD,E1 demo unit
151,B,,Oriolus Mellianus,2400,Mild V-shape,"Thin and sterile signature that isn't the most natural, but still technically proficient.",B-,A,10BA,Third party unit
152,B,,Jomo Trinity Brass,2800,Warm,"The warmer of the Trinity models, sacrificing technical ability for a more pleasing and smoother tone.",B-,A,2EST 4BA 1DD,Showfloor demo unit
153,B,,Prisma Azul,Discont.,Neutral,A well-balanced neutral monitor bottlenecked by sheer resolution and narrow imaging performance.,A,B-,2BA,Available for demo at The Hangout
154,B,,Jomo Samba,Discont.,V-shaped,"Lively and engaging with big clarity and detail, perhaps too much for some",B-,A,8BA,Music Sanctuary demo unit
155,B,★★,See Audio Yume,170,Neutral with bass boost,"Excellent tuning with impeccable bass control, though with mushy transients and lacking detail.",S-,C+,2BA 1DD,Oardio demo unit
156,B,,DUNU Luna,1700,Mid-centric,Needs more work on the tuning front.,C+,S-,DD,Available for demo at The Hangout
157,B,,Dita Dream,1800,V-shaped,Excellent resolution and detail let down by its metallic tonality and thin midrange,C+,S-,DD,Zeppelin & Co demo unit
158,B,★★,Samsung Galaxy Buds+,150,U-shaped,Tuned even closer to the Harman IE target compared to the original.,B+,B,2DD,Personal unit
159,B,★★,Tanchjim New Hana (2021),180,Mild V-shape,,B+,B,DD,Available for demo at The Hangout
160,B,★,Audiosense DT600,250,Neutral with bass boost,,B+,B,6BA,Available for demo at The Hangout
161,B,★,Etymotic ER4PT,300,Warm neutral,"Slightly rolled off treble with good detail and resolution, though imaging is too two-dimensional.",B+,B,BA,Personal unit
162,B,★,Tanchjim Darling,420,Bright V-shape,A tad shouty but with excellent imaging performance.,B,B+,2BA 1DD,
163,B,,Fearless S8F/S8Pro,490,V-shaped,Tonally pleasing V-shaped signature on a solid technical foundation.,B,B+,8BA,Music Sanctuary demo unit
164,B,,DUNU EST 112,490,Neutral,"Good tonality, though the treble extension is its big Achille's Heel.",B+,B,2EST 1BA 1DD,Available for demo at The Hangout
165,B,,Acoustune HS1750,600,V-shaped,,B,B+,DD,e-Earphone demo unit
166,B,,Oriolus Isabellae,600,Mild V-shape,,B+,B,DD,Third party unit
167,B,,XENNS UP,700,Neutral with bass boost,,B+,B,2EST 4BA 1DD,Available for demo at The Hangout
168,B,,AAW ASH,800,Warm neutral,Smooth tonal balance with decent technicalities.,B,B+,6BA 1DD,Zeppelin & Co demo unit
169,B,,Fatfreq Tsuru,800,Bright neutral,,B+,B,3BA,Showfloor demo unit
170,B,,Shuoer EJ07,850,Dark neutral,Tuned almost Etymotic-like but with underwhelming treble extension bottlenecking it all.,B+,B,4EST 2BA 1DD,Available for demo at The Hangout
171,B,,DUNU Zen Pro,900,V-shaped,,B+,B,DD,e-Earphone demo unit
172,B,,qdc Anole V6,1100,Variable,The more mid-centric of the Anole brothers. Better technicalities but worse timbre.,B,B+,6BA,Music Sanctuary demo unit
173,B,,Campfire Andromeda (2020),1100,Warm neutral,Basically an Andromeda without the treble spike and slightly boosted midrange.,B,B+,5BA,Third party unit
174,B,,Campfire Andromeda (S),1100,Warm U-shape,"Highly coherent, easy-to-love tuning and spacious headstage",B,B+,5BA,Zeppelin & Co demo unit
175,B,,Fatfreq Hayabusa,1320,Mild V-shape,,B+,B,8BA,Showfloor demo unit
176,B,,See Audio Kaguya,1400,U-shaped,"Somewhat mid-scooped, decent bass and treble extension though with underwhelming resolving ability.",B,B+,4EST 4BA,Oardio demo unit
177,B,,Softears Cerberus,2100,Dark neutral,"Lacking definition in the treble, otherwise a decently balanced tribrid IEM.",B,B+,2EST 4BA 1DD,Showfloor demo unit
178,B,,Ultimate Ears UE4 Pro,Discont.,Neutral,Pretty much a mini-UE7.,B,B+,2BA,AV One demo unit
179,B,,A&K T8iE,Discont.,Neutral with bass boost,Hard-to-dislike tuning with excellent clarity and resolution.,B,B+,DD,Zeppelin & Co demo unit
180,B,★★★,Moondrop Chu,20,Neutral,An extremely well-tuned neutral IEM with a slightly bright and metallic tilt.,A+,C+,DD,Available for demo at The Hangout
181,B,★★★,Truthear Hola,20,Warm neutral,,A+,C+,DD,Available for demo at The Hangout
182,B,★★,Audiosense DT200,150,Neutral,Excellent tonality. Just excellent tuning overall.,A+,C+,2BA,Zeppelin & Co demo unit
183,B,★,ThieAudio Legacy 4 (L4),200,Neutral with bass boost,Well-tuned if technically lacking in comparison. Could use some more power in the bass.,A-,B-,3BA 1DD,
184,B,★,Libratone Track Air Plus,250,Neutral with bass boost,Deep and focused sub-bass response with a surprisingly balanced midrange tonality.,A+,C+,2DD,Available for demo at The Hangout
185,B,,Unique Melody Merlin V2,1000,Warm neutral,"Very tasteful and coherent tuning, if lacking in sheer resolution.",A-,B-,4BA 1DD,Stereo SG demo unit
186,B,,64 Audio A6t,1300,Warm,"Very warm and intimate presentation, though overall tonal balance is somewhat preserved.",A-,B-,6BA,Music Sanctuary demo unit
187,B,,Empire Ears Hero,1350,U-shaped,Well-controlled bass emphasis with a less-well-controlled treble emphasis makes this hard to appreciate.,B-,A-,3BA 1DD,Zeppelin & Co demo unit
188,B,,Moondrop Kanas Pro,Discont.,Warm V-shape,"Somewhat Harman-esque in tuning, not the best in terms of resolution.",A-,B-,DD,Available for demo at The Hangout
189,B,★★★,"Lypertek PurePlay Z3 2.0
(PurePlay Z3)
(Tevi)",90,Neutral with bass boost,Probably the closest thing to an ER2XR in TWS form.,A,C+,DD,Jaben Melbourne demo unit
190,B,★,Sony XBA-N3,300,Neutral with bass boost,Exceptional tonal balance only limited by its slightly smoothed over definition,A,C+,1BA 1DD,ConnectIT demo unit
191,B,,Kumitate KL-Corona,650,Neutral,Well-tuned with somewhat disappointing technical performance.,A,C+,3BA,Treoo demo unit
192,B,,64 Audio tia Fourte,3600,W-shaped,"Unique sound; high clarity and bass response with immensely wide staging, held back by a wonky tonality.",C+,A,3BA 1DD,E1 demo unit
193,B,,64 Audio tia Fourte Noir,3800,W-shaped,A bassier and warmer Fourte though also strangely sharper and less technical.,C+,A,3BA 1DD,E1 demo unit
194,B,,Sony MDR-EX1000,Discont.,Bright neutral,Outstanding imaging and detail retrieval though can be intense to listen to.,C+,A,DD,Third party unit
195,B,,Dita Sakura 71,Discont.,V-shaped,Very upper-mid forward. Would appreciate the shout being dialed way down.,C+,A,DD,Showfloor demo unit
